"Town","FIPS","Year","Occupancy Status","Measure Type","Variable","Value"
"Barkhamsted","0900502760","2010-2014","Vacant","Number","Housing Units",86
"Barkhamsted","0900502760","2010-2014","Vacant","Number","Margins of Error",72
"Barkhamsted","0900502760","2010-2014","Vacant","Percent","Housing Units",5.51
"Barkhamsted","0900502760","2010-2014","Vacant","Percent","Margins of Error",4.64
"Barkhamsted","0900502760","2010-2014","Occupied","Number","Housing Units",1475
"Barkhamsted","0900502760","2010-2014","Occupied","Number","Margins of Error",105
"Barkhamsted","0900502760","2010-2014","Occupied","Percent","Housing Units",94.49
"Barkhamsted","0900502760","2010-2014","Occupied","Percent","Margins of Error",10.35
"Barkhamsted","0900502760","2011-2015","Total","Number","Housing Units",1500
"Barkhamsted","0900502760","2011-2015","Total","Number","Margins of Error",103
"Barkhamsted","0900502760","2011-2015","Vacant","Number","Housing Units",50
"Barkhamsted","0900502760","2011-2015","Vacant","Number","Margins of Error",46
"Barkhamsted","0900502760","2011-2015","Vacant","Percent","Housing Units",3.33
"Barkhamsted","0900502760","2011-2015","Vacant","Percent","Margins of Error",3.08
"Barkhamsted","0900502760","2011-2015","Occupied","Number","Housing Units",1450
"Barkhamsted","0900502760","2011-2015","Occupied","Number","Margins of Error",94
"Barkhamsted","0900502760","2011-2015","Occupied","Percent","Housing Units",96.67
"Barkhamsted","0900502760","2011-2015","Occupied","Percent","Margins of Error",9.13
"Barkhamsted","0900502760","2012-2016","Total","Number","Housing Units",1505
"Barkhamsted","0900502760","2012-2016","Total","Number","Margins of Error",103
"Barkhamsted","0900502760","2012-2016","Vacant","Number","Housing Units",70
"Barkhamsted","0900502760","2012-2016","Vacant","Number","Margins of Error",56
"Barkhamsted","0900502760","2012-2016","Vacant","Percent","Housing Units",4.65
"Barkhamsted","0900502760","2012-2016","Vacant","Percent","Margins of Error",3.73
"Barkhamsted","0900502760","2012-2016","Occupied","Number","Housing Units",1435
"Barkhamsted","0900502760","2012-2016","Occupied","Number","Margins of Error",99
"Barkhamsted","0900502760","2012-2016","Occupied","Percent","Housing Units",95.35
"Barkhamsted","0900502760","2012-2016","Occupied","Percent","Margins of Error",9.27
"Barkhamsted","0900502760","2013-2017","Total","Number","Housing Units",1469
"Barkhamsted","0900502760","2013-2017","Total","Number","Margins of Error",91
"Barkhamsted","0900502760","2013-2017","Vacant","Number","Housing Units",94
"Barkhamsted","0900502760","2013-2017","Vacant","Number","Margins of Error",48
"Barkhamsted","0900502760","2013-2017","Vacant","Percent","Housing Units",6.4
"Barkhamsted","0900502760","2013-2017","Vacant","Percent","Margins of Error",3.29
"Barkhamsted","0900502760","2013-2017","Occupied","Number","Housing Units",1375
"Barkhamsted","0900502760","2013-2017","Occupied","Number","Margins of Error",83
"Barkhamsted","0900502760","2013-2017","Occupied","Percent","Housing Units",93.6
"Barkhamsted","0900502760","2013-2017","Occupied","Percent","Margins of Error",8.1
"Barkhamsted","0900502760","2014-2018","Total","Number","Housing Units",1463
"Barkhamsted","0900502760","2014-2018","Total","Number","Margins of Error",96
"Barkhamsted","0900502760","2014-2018","Vacant","Number","Housing Units",99
"Barkhamsted","0900502760","2014-2018","Vacant","Number","Margins of Error",68
"Barkhamsted","0900502760","2014-2018","Vacant","Percent","Housing Units",6.77
"Barkhamsted","0900502760","2014-2018","Vacant","Percent","Margins of Error",4.67
"Barkhamsted","0900502760","2014-2018","Occupied","Number","Housing Units",1364
"Barkhamsted","0900502760","2014-2018","Occupied","Number","Margins of Error",79
"Barkhamsted","0900502760","2014-2018","Occupied","Percent","Housing Units",93.23
"Barkhamsted","0900502760","2014-2018","Occupied","Percent","Margins of Error",8.16
"Beacon Falls","0900903250","2006-2010","Total","Number","Housing Units",2447
"Beacon Falls","0900903250","2006-2010","Total","Number","Margins of Error",126
"Beacon Falls","0900903250","2006-2010","Vacant","Number","Housing Units",169
"Beacon Falls","0900903250","2006-2010","Vacant","Number","Margins of Error",112
"Beacon Falls","0900903250","2006-2010","Vacant","Percent","Housing Units",6.91
"Beacon Falls","0900903250","2006-2010","Vacant","Percent","Margins of Error",4.59
"Beacon Falls","0900903250","2006-2010","Occupied","Number","Housing Units",2278
"Beacon Falls","0900903250","2006-2010","Occupied","Number","Margins of Error",135
"Beacon Falls","0900903250","2006-2010","Occupied","Percent","Housing Units",93.09
"Beacon Falls","0900903250","2006-2010","Occupied","Percent","Margins of Error",7.31
"Beacon Falls","0900903250","2007-2011","Total","Number","Housing Units",2395
"Beacon Falls","0900903250","2007-2011","Total","Number","Margins of Error",140
"Beacon Falls","0900903250","2007-2011","Vacant","Number","Housing Units",126
"Beacon Falls","0900903250","2007-2011","Vacant","Number","Margins of Error",93
"Beacon Falls","0900903250","2007-2011","Vacant","Percent","Housing Units",5.26
"Beacon Falls","0900903250","2007-2011","Vacant","Percent","Margins of Error",3.9
"Beacon Falls","0900903250","2007-2011","Occupied","Number","Housing Units",2269
"Beacon Falls","0900903250","2007-2011","Occupied","Number","Margins of Error",125
"Beacon Falls","0900903250","2007-2011","Occupied","Percent","Housing Units",94.74
"Beacon Falls","0900903250","2007-2011","Occupied","Percent","Margins of Error",7.61
"Beacon Falls","0900903250","2008-2012","Total","Number","Housing Units",2388
"Beacon Falls","0900903250","2008-2012","Total","Number","Margins of Error",147
"Beacon Falls","0900903250","2008-2012","Vacant","Number","Housing Units",144
"Beacon Falls","0900903250","2008-2012","Vacant","Number","Margins of Error",104
"Beacon Falls","0900903250","2008-2012","Vacant","Percent","Housing Units",6.03
"Beacon Falls","0900903250","2008-2012","Vacant","Percent","Margins of Error",4.37
"Beacon Falls","0900903250","2008-2012","Occupied","Number","Housing Units",2244
"Beacon Falls","0900903250","2008-2012","Occupied","Number","Margins of Error",134
"Beacon Falls","0900903250","2008-2012","Occupied","Percent","Housing Units",93.97
"Beacon Falls","0900903250","2008-2012","Occupied","Percent","Margins of Error",8.06
"Beacon Falls","0900903250","2009-2013","Total","Number","Housing Units",2479
"Beacon Falls","0900903250","2009-2013","Total","Number","Margins of Error",167
"Beacon Falls","0900903250","2009-2013","Vacant","Number","Housing Units",188
"Beacon Falls","0900903250","2009-2013","Vacant","Number","Margins of Error",116
"Beacon Falls","0900903250","2009-2013","Vacant","Percent","Housing Units",7.58
"Beacon Falls","0900903250","2009-2013","Vacant","Percent","Margins of Error",4.71
"Beacon Falls","0900903250","2009-2013","Occupied","Number","Housing Units",2291
"Beacon Falls","0900903250","2009-2013","Occupied","Number","Margins of Error",154
"Beacon Falls","0900903250","2009-2013","Occupied","Percent","Housing Units",92.42
"Beacon Falls","0900903250","2009-2013","Occupied","Percent","Margins of Error",8.79
"Beacon Falls","0900903250","2010-2014","Total","Number","Housing Units",2579
"Beacon Falls","0900903250","2010-2014","Total","Number","Margins of Error",156
"Beacon Falls","0900903250","2010-2014","Vacant","Number","Housing Units",245
"Beacon Falls","0900903250","2010-2014","Vacant","Number","Margins of Error",127
"Beacon Falls","0900903250","2010-2014","Vacant","Percent","Housing Units",9.5
"Beacon Falls","0900903250","2010-2014","Vacant","Percent","Margins of Error",4.96
"Beacon Falls","0900903250","2010-2014","Occupied","Number","Housing Units",2334
"Beacon Falls","0900903250","2010-2014","Occupied","Number","Margins of Error",135
"Beacon Falls","0900903250","2010-2014","Occupied","Percent","Housing Units",90.5
"Beacon Falls","0900903250","2010-2014","Occupied","Percent","Margins of Error",7.57
"Beacon Falls","0900903250","2011-2015","Total","Number","Housing Units",2623
"Beacon Falls","0900903250","2011-2015","Total","Number","Margins of Error",167
"Beacon Falls","0900903250","2011-2015","Vacant","Number","Housing Units",253
"Beacon Falls","0900903250","2011-2015","Vacant","Number","Margins of Error",142
"Beacon Falls","0900903250","2011-2015","Vacant","Percent","Housing Units",9.65
"Beacon Falls","0900903250","2011-2015","Vacant","Percent","Margins of Error",5.45
"Beacon Falls","0900903250","2011-2015","Occupied","Number","Housing Units",2370
"Beacon Falls","0900903250","2011-2015","Occupied","Number","Margins of Error",158
"Beacon Falls","0900903250","2011-2015","Occupied","Percent","Housing Units",90.35
"Beacon Falls","0900903250","2011-2015","Occupied","Percent","Margins of Error",8.33
"Beacon Falls","0900903250","2012-2016","Total","Number","Housing Units",2678
"Beacon Falls","0900903250","2012-2016","Total","Number","Margins of Error",142
"Beacon Falls","0900903250","2012-2016","Vacant","Number","Housing Units",274
"Beacon Falls","0900903250","2012-2016","Vacant","Number","Margins of Error",136
"Beacon Falls","0900903250","2012-2016","Vacant","Percent","Housing Units",10.23
"Beacon Falls","0900903250","2012-2016","Vacant","Percent","Margins of Error",5.11
"Beacon Falls","0900903250","2012-2016","Occupied","Number","Housing Units",2404
"Beacon Falls","0900903250","2012-2016","Occupied","Number","Margins of Error",133
"Beacon Falls","0900903250","2012-2016","Occupied","Percent","Housing Units",89.77
"Beacon Falls","0900903250","2012-2016","Occupied","Percent","Margins of Error",6.88
"Beacon Falls","0900903250","2013-2017","Total","Number","Housing Units",2688
"Beacon Falls","0900903250","2013-2017","Total","Number","Margins of Error",139
"Beacon Falls","0900903250","2013-2017","Vacant","Number","Housing Units",269
"Beacon Falls","0900903250","2013-2017","Vacant","Number","Margins of Error",137
"Beacon Falls","0900903250","2013-2017","Vacant","Percent","Housing Units",10.01
"Beacon Falls","0900903250","2013-2017","Vacant","Percent","Margins of Error",5.12
"Beacon Falls","0900903250","2013-2017","Occupied","Number","Housing Units",2419
"Beacon Falls","0900903250","2013-2017","Occupied","Number","Margins of Error",138
"Beacon Falls","0900903250","2013-2017","Occupied","Percent","Housing Units",89.99
"Beacon Falls","0900903250","2013-2017","Occupied","Percent","Margins of Error",6.93
"Beacon Falls","0900903250","2014-2018","Total","Number","Housing Units",2747
"Beacon Falls","0900903250","2014-2018","Total","Number","Margins of Error",177
"Beacon Falls","0900903250","2014-2018","Vacant","Number","Housing Units",281
"Beacon Falls","0900903250","2014-2018","Vacant","Number","Margins of Error",157
"Beacon Falls","0900903250","2014-2018","Vacant","Percent","Housing Units",10.23
"Beacon Falls","0900903250","2014-2018","Vacant","Percent","Margins of Error",5.75
"Beacon Falls","0900903250","2014-2018","Occupied","Number","Housing Units",2466
"Beacon Falls","0900903250","2014-2018","Occupied","Number","Margins of Error",158
"Beacon Falls","0900903250","2014-2018","Occupied","Percent","Housing Units",89.77
"Beacon Falls","0900903250","2014-2018","Occupied","Percent","Margins of Error",8.16
"Berlin","0900304300","2006-2010","Total","Number","Housing Units",7676
"Berlin","0900304300","2006-2010","Total","Number","Margins of Error",247
"Berlin","0900304300","2006-2010","Vacant","Number","Housing Units",209
"Berlin","0900304300","2006-2010","Vacant","Number","Margins of Error",132
"Berlin","0900304300","2006-2010","Vacant","Percent","Housing Units",2.72
"Berlin","0900304300","2006-2010","Vacant","Percent","Margins of Error",1.72
"Berlin","0900304300","2006-2010","Occupied","Number","Housing Units",7467
"Berlin","0900304300","2006-2010","Occupied","Number","Margins of Error",236
"Berlin","0900304300","2006-2010","Occupied","Percent","Housing Units",97.28
"Berlin","0900304300","2006-2010","Occupied","Percent","Margins of Error",4.39
"Berlin","0900304300","2007-2011","Total","Number","Housing Units",7734
"Berlin","0900304300","2007-2011","Total","Number","Margins of Error",209
"Berlin","0900304300","2007-2011","Vacant","Number","Housing Units",308
"Berlin","0900304300","2007-2011","Vacant","Number","Margins of Error",161
"Berlin","0900304300","2007-2011","Vacant","Percent","Housing Units",3.98
"Berlin","0900304300","2007-2011","Vacant","Percent","Margins of Error",2.08
"Berlin","0900304300","2007-2011","Occupied","Number","Housing Units",7426
"Berlin","0900304300","2007-2011","Occupied","Number","Margins of Error",206
"Berlin","0900304300","2007-2011","Occupied","Percent","Housing Units",96.02
"Berlin","0900304300","2007-2011","Occupied","Percent","Margins of Error",3.72
"Berlin","0900304300","2008-2012","Total","Number","Housing Units",7953
"Berlin","0900304300","2008-2012","Total","Number","Margins of Error",242
"Berlin","0900304300","2008-2012","Vacant","Number","Housing Units",334
"Berlin","0900304300","2008-2012","Vacant","Number","Margins of Error",145
"Berlin","0900304300","2008-2012","Vacant","Percent","Housing Units",4.2
"Berlin","0900304300","2008-2012","Vacant","Percent","Margins of Error",1.83
"Berlin","0900304300","2008-2012","Occupied","Number","Housing Units",7619
"Berlin","0900304300","2008-2012","Occupied","Number","Margins of Error",203
"Berlin","0900304300","2008-2012","Occupied","Percent","Housing Units",95.8
"Berlin","0900304300","2008-2012","Occupied","Percent","Margins of Error",3.87
"Berlin","0900304300","2009-2013","Total","Number","Housing Units",7961
"Berlin","0900304300","2009-2013","Total","Number","Margins of Error",247
"Berlin","0900304300","2009-2013","Vacant","Number","Housing Units",369
"Berlin","0900304300","2009-2013","Vacant","Number","Margins of Error",159
"Berlin","0900304300","2009-2013","Vacant","Percent","Housing Units",4.64
"Berlin","0900304300","2009-2013","Vacant","Percent","Margins of Error",2
"Berlin","0900304300","2009-2013","Occupied","Number","Housing Units",7592
"Berlin","0900304300","2009-2013","Occupied","Number","Margins of Error",239
"Berlin","0900304300","2009-2013","Occupied","Percent","Housing Units",95.36
"Berlin","0900304300","2009-2013","Occupied","Percent","Margins of Error",4.22
"Berlin","0900304300","2010-2014","Total","Number","Housing Units",8218
"Berlin","0900304300","2010-2014","Total","Number","Margins of Error",248
"Berlin","0900304300","2010-2014","Vacant","Number","Housing Units",396
"Berlin","0900304300","2010-2014","Vacant","Number","Margins of Error",159
"Berlin","0900304300","2010-2014","Vacant","Percent","Housing Units",4.82
